scenario,state,buy_share,avg_delta,count
HighMaint,AK,0.0,57338.427285458274,20
HighMaint,AL,0.2866052060737527,28687.633907918447,119
HighMaint,AR,0.13259668508287292,34308.15699328383,59
HighMaint,AZ,0.02325120549573948,61301.354602909596,186
HighMaint,CA,6.884207627702051e-05,233742.0352183351,932
HighMaint,CO,0.0069742038484160995,96790.19303480051,181
HighMaint,CT,0.03968525487512829,84044.16170666872,105
HighMaint,DC,0.006555723651033787,132038.06153415126,22
HighMaint,DE,0.19339622641509435,31038.948309925257,23
HighMaint,FL,0.18026702973340947,41059.07715110507,671
HighMaint,GA,0.20624184169929988,39952.01512231785,242
HighMaint,HI,0.0,176445.42578531252,30
HighMaint,IA,0.04447852760736196,36171.3815082515,60
HighMaint,ID,0.0,92387.62944191696,44
HighMaint,IL,0.19922245401099944,29932.23582885236,251
HighMaint,IN,0.2941275167785235,19441.509208095147,158
HighMaint,KS,0.2002200220022002,34826.29229460416,75
HighMaint,KY,0.14512119328775638,30165.667821199702,85
HighMaint,LA,0.15643234231731037,33731.12232351332,97
HighMaint,MA,0.008262424466642002,144528.1409759072,178
HighMaint,MD,0.18529083467691926,54354.897635763424,152
HighMaint,ME,0.0,77579.50304433185,28
HighMaint,MI,0.3732658723682063,19715.61893478014,207
HighMaint,MN,0.04477900019301293,53066.864332677476,139
HighMaint,MO,0.255233725265271,25850.292968248792,158
HighMaint,MS,0.2538671519563239,13611.48225138656,40
HighMaint,MT,0.0,122447.14647342179,27
HighMaint,NC,0.11804929365795011,53927.07004964084,230
HighMaint,ND,0.0,59034.755883946724,17
HighMaint,NE,0.09051348999129678,40955.77226297691,56
HighMaint,NH,0.0,84397.18205680833,30
HighMaint,NJ,0.05184153512844321,93862.40352956847,229
HighMaint,NM,0.011929460580912862,46688.065507760075,38
HighMaint,NV,0.014437482974666304,59201.11521967874,86
HighMaint,NY,0.05453866268210684,184126.5773076995,363
HighMaint,OH,0.28826133780064617,26083.401595075764,259
HighMaint,OK,0.29316028018129375,15653.906793547947,101
HighMaint,OR,0.0,112338.6832816651,122
HighMaint,PA,0.23133978030231903,36213.305129968016,309
HighMaint,RI,0.040892193308550186,77361.97585693831,33
HighMaint,SC,0.1515768056968464,46176.05854457913,119
HighMaint,SD,0.0,58844.64401672587,17
HighMaint,TN,0.14204470308160297,58906.582848927974,146
HighMaint,TX,0.1649875859434683,50310.24915973098,708
HighMaint,UT,0.0,125401.39719356915,77
HighMaint,VA,0.024075517450420022,80770.64381380378,206
HighMaint,VT,0.0,65810.37869919726,9
HighMaint,WA,0.001347305389221557,152856.75754679172,221
HighMaint,WI,0.09446744448626271,51842.4142650529,117
HighMaint,WV,0.11734693877551021,19032.18718139586,27
HighMaint,WY,0.0,67093.55311423288,18
HighRates,AK,0.0,66659.64579133679,20
HighRates,AL,0.24078091106290672,36775.211481944556,119
HighRates,AR,0.1125062782521346,42321.32987764611,59
HighRates,AZ,0.014267785190567409,72077.52913584602,186
HighRates,CA,0.0,259421.34494385278,932
HighRates,CO,0.003613141752793883,110875.89119006864,181
HighRates,CT,0.027369141293191925,98194.29593441501,105
HighRates,DC,0.0015128593040847202,147653.63888686307,22
HighRates,DE,0.16823899371069181,42451.943973083515,23
HighRates,FL,0.13885106943651457,52062.68266444295,671
HighRates,GA,0.17556663106680906,48943.077229059185,242
HighRates,HI,0.0,199223.53816344953,30
HighRates,IA,0.03016359918200409,44702.66408753065,60
HighRates,ID,0.0,105836.32438881657,44
HighRates,IL,0.148587142044377,39049.48134145821,251
HighRates,IN,0.24781879194630874,26614.88331264208,158
HighRates,KS,0.14411441144114412,43231.276239220664,75
HighRates,KY,0.12554381603480422,37954.81848511406,85
HighRates,LA,0.11475409836065574,42082.069530561,97
HighRates,MA,0.008262424466642002,165475.77391997565,178
HighRates,MD,0.16160238124767456,65951.51567440787,152
HighRates,ME,0.0,93070.42680641584,28
HighRates,MI,0.3327892932919863,27841.483426919163,207
HighRates,MN,0.02451264234703725,64491.24735691392,139
HighRates,MO,0.21236019501003728,33316.66012657868,158
HighRates,MS,0.2211101000909918,21830.486419945017,40
HighRates,MT,0.0,141036.2981115746,27
HighRates,NC,0.0880673279230538,64001.74977855779,230
HighRates,ND,0.0,69625.70150282915,17
HighRates,NE,0.0639686684073107,49872.93904330344,56
HighRates,NH,0.0,102686.4529433572,30
HighRates,NJ,0.03141442277932529,112338.96506291622,229
HighRates,NM,0.007261410788381743,55755.08865541553,38
HighRates,NV,0.004494688095886679,69057.07889535914,86
HighRates,NY,0.043145311916324244,207673.66917948253,363
HighRates,OH,0.23429460332655258,34318.41179107479,259
HighRates,OK,0.23011948908117016,21904.568861510543,101
HighRates,OR,0.0,127499.38824335708,122
HighRates,PA,0.1900291052483335,45689.65354281705,309
HighRates,RI,0.027881040892193308,92067.39640857624,33
HighRates,SC,0.11393692777212615,56071.788077774385,119
HighRates,SD,0.0,69083.12346724077,17
HighRates,TN,0.11889961645285015,69662.38390839676,146
HighRates,TX,0.1255013368983957,60120.66681793598,708
HighRates,UT,0.0,143539.66321529515,77
HighRates,VA,0.01610808002078462,93783.82219376594,206
HighRates,VT,0.0,80695.17778178658,9
HighRates,WA,0.0,171788.97541878212,221
HighRates,WI,0.06398193451260821,62775.6225740746,117
HighRates,WV,0.07397959183673469,26762.316298728347,27
HighRates,WY,0.0,77548.4494247091,18
HighTax,AK,0.0,56364.429443691995,20
HighTax,AL,0.29094360086767895,28221.517107232485,119
HighTax,AR,0.13259668508287292,34074.45984012782,59
HighTax,AZ,0.02325120549573948,61301.354602909596,186
HighTax,CA,6.884207627702051e-05,231909.52928136417,932
HighTax,CO,0.007226283505587766,96293.92762265206,181
HighTax,CT,0.04002736914129319,83627.8141600707,105
HighTax,DC,0.008068582955118508,130777.22254857364,22
HighTax,DE,0.1949685534591195,30737.321424501326,23
HighTax,FL,0.18026702973340947,41059.07715110507,671
HighTax,GA,0.20624184169929988,39952.01512231785,242
HighTax,HI,0.0,176445.42578531252,30
HighTax,IA,0.04447852760736196,36171.3815082515,60
HighTax,ID,0.0,92387.62944191696,44
HighTax,IL,0.19922245401099944,29932.23582885236,251
HighTax,IN,0.2941275167785235,19441.509208095147,158
HighTax,KS,0.2002200220022002,34826.29229460416,75
HighTax,KY,0.14512119328775638,30165.667821199702,85
HighTax,LA,0.15643234231731037,33731.12232351332,97
HighTax,MA,0.008262424466642002,144528.1409759072,178
HighTax,MD,0.18529083467691926,54354.897635763424,152
HighTax,ME,0.0,77579.50304433185,28
HighTax,MI,0.3732658723682063,19715.61893478014,207
HighTax,MN,0.04477900019301293,53066.864332677476,139
HighTax,MO,0.255233725265271,25850.292968248792,158
HighTax,MS,0.2538671519563239,13611.482251386558,40
HighTax,MT,0.0,122447.14647342179,27
HighTax,NC,0.11804929365795011,53927.07004964084,230
HighTax,ND,0.0,59034.755883946724,17
HighTax,NE,0.09051348999129678,40955.77226297691,56
HighTax,NH,0.0,84397.18205680833,30
HighTax,NJ,0.05184153512844321,93862.40352956847,229
HighTax,NM,0.011929460580912862,46688.06550776009,38
HighTax,NV,0.014437482974666304,59201.11521967874,86
HighTax,NY,0.05453866268210684,184126.5773076995,363
HighTax,OH,0.28826133780064617,26083.401595075764,259
HighTax,OK,0.29316028018129375,15653.906793547947,101
HighTax,OR,0.0,112338.6832816651,122
HighTax,PA,0.23133978030231903,36213.305129968016,309
HighTax,RI,0.040892193308550186,77361.97585693831,33
HighTax,SC,0.1515768056968464,46176.05854457913,119
HighTax,SD,0.0,58844.64401672587,17
HighTax,TN,0.14204470308160297,58906.582848927974,146
HighTax,TX,0.1649875859434683,50310.24915973098,708
HighTax,UT,0.0,125401.39719356915,77
HighTax,VA,0.024075517450420022,80770.64381380378,206
HighTax,VT,0.0,65810.37869919726,9
HighTax,WA,0.001347305389221557,152856.75754679172,221
HighTax,WI,0.09446744448626271,51842.4142650529,117
HighTax,WV,0.11734693877551021,19032.187181395857,27
HighTax,WY,0.0,67093.55311423288,18
LowRates,AK,0.007308160779537149,47943.146178780764,20
LowRates,AL,0.34164859002169196,21734.7338931711,119
LowRates,AR,0.15369161225514816,27695.276556530927,59
LowRates,AZ,0.050862012021930116,52089.61671692606,186
LowRates,CA,0.0002409472669695718,208729.21718047673,932
LowRates,CO,0.014956726325518864,83859.9666224777,181
LowRates,CT,0.05371193978788916,72310.63877547665,105
LowRates,DC,0.018658598083711547,115607.54774367313,22
LowRates,DE,0.2562893081761006,22097.528638213655,23
LowRates,FL,0.2412271070314902,32079.64031568097,671
LowRates,GA,0.25275898896404414,32335.87208709641,242
LowRates,HI,0.0,157526.62570373813,30
LowRates,IA,0.08282208588957055,29724.391521400798,60
LowRates,ID,0.0,81539.68890865169,44
LowRates,IL,0.2634174094443391,22405.441918453835,251
LowRates,IN,0.3496644295302013,13770.819962647338,158
LowRates,KS,0.26145947928126145,28279.39854701077,75
